"release_date","revenue","title","collection_name","main_genre","release_year","main_genre_name","rank"
"1988-07-29",171504781,"Cocktail","",7,"1988","Drama",7
"1988-06-28",288752301,"Coming to America","",4,"1988","Comedy",3
"1988-12-09",216614388,"Twins","",4,"1988","Comedy",5
"1964-01-29",9440272,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","",7,"1964","Drama",8
"1964-10-21",72070731,"My Fair Lady","",7,"1964","Drama",3
"1964-08-27",102272727,"Mary Poppins","",4,"1964","Comedy",2
"1964-07-09",7e+06,"Marnie","",5,"1964","Crime",10
"1964-07-06",12299668,"A Hard Day's Night","",4,"1964","Comedy",6
"1964-09-17",124881062,"Goldfinger","James Bond Collection",2,"1964","Adventure",1
"1964-09-12",14500000,"A Fistful of Dollars","The Man With No Name Collection",20,"1964","Western",4
"1964-01-22",8e+06,"Zulu","Anglo-Zulu War Collection",1,"1964","Action",9
"1964-06-23",12368234,"A Shot in the Dark","The Pink Panther (Original) Collection",4,"1964","Comedy",5
"1964-08-06",1.2e+07,"The Night of the Iguana","",7,"1964","Drama",7
"1972-03-14",245066411,"The Godfather","The Godfather Collection",7,"1972","Drama",1
"1972-12-01",84563118,"The Poseidon Adventure","The Poseidon Adventure Collection",1,"1972","Action",3
"1972-05-25",12600000,"Frenzy","",5,"1972","Crime",9
"1972-07-30",46122355,"Deliverance","",7,"1972","Drama",5
"1972-06-08",1e+07,"Shaft's Big Score!","Shaft Collection",1,"1972","Action",10
"1972-08-06",18016290,"Everything You Always Wanted to Know About Sex *But Were Afraid to Ask","",4,"1972","Comedy",8
"1972-06-01",8.5e+07,"The Way of the Dragon","",1,"1972","Action",2
"1972-08-01",2.2e+07,"The Legend of Boggy Creek","",14,"1972","Mystery",7
"1972-10-14",36144000,"Last Tango in Paris","",7,"1972","Drama",6
"1972-12-13",58831997,"The Getaway","",1,"1972","Action",4
"1997-03-21",302710615,"Liar Liar","",4,"1997","Comedy",6
"1997-05-07",263920180,"The Fifth Element","",2,"1997","Adventure",8
"1997-06-26",252712101,"Hercules","",3,"1997","Animation",10
"1997-06-19",299288605,"My Best Friend's Wedding","",4,"1997","Comedy",7
"1997-07-02",589390539,"Men in Black","Men In Black Collection",1,"1997","Action",2
"1997-07-25",315156409,"Air Force One","",1,"1997","Action",4
"1997-08-13",257850122,"The Full Monty","",4,"1997","Comedy",9
"1997-11-18",1845034188,"Titanic","",7,"1997","Drama",1
"1997-12-11",333011068,"Tomorrow Never Dies","James Bond Collection",2,"1997","Adventure",3
"1997-12-19",314178011,"As Good as It Gets","",4,"1997","Comedy",5
"1952-04-10",7200000,"Singin' in the Rain","",4,"1952","Comedy",3
"1952-03-27",8e+06,"High Noon","",20,"1952","Western",2
"1952-01-10",3.6e+07,"The Greatest Show on Earth","",1,"1952","Action",1
"1952-09-02",2e+06,"Monkey Business","",4,"1952","Comedy",5
"1952-05-08",6746000,"Scaramouche","",1,"1952","Action",4
"1952-10-09",55240,"Ikiru","",7,"1952","Drama",6
"1952-05-09",10188,"Forbidden Games","",7,"1952","Drama",7
"1951-08-08",4500000,"An American in Paris","",7,"1951","Drama",7
"1951-12-03",10750000,"The African Queen","",2,"1951","Adventure",4
"1951-07-03",5.72e+08,"Alice in Wonderland","",3,"1951","Animation",1
"1951-09-18",8e+06,"A Streetcar Named Desire","",7,"1951","Drama",5
"1951-06-18",7e+06,"Strangers on a Train","",5,"1951","Crime",6
"1951-06-29",1300000,"Ace in the Hole","",7,"1951","Drama",9
"1951-07-13",1.1e+07,"Show Boat","",13,"1951","Music",3
"1951-11-08",3e+07,"Quo Vadis","",7,"1951","Drama",2
"1951-10-26",3550000,"The Blue Veil","",7,"1951","Drama",8
"1961-10-05",9500000,"Breakfast at Tiffany's","",4,"1961","Comedy",6
"1961-10-18",43656822,"West Side Story","",5,"1961","Crime",2
"1961-01-25",215880014,"One Hundred and One Dalmatians","101 Dalmatians (Animated) Collection",2,"1961","Adventure",1
"1961-09-25",7600000,"The Hustler","The Hustler Collection",7,"1961","Drama",8
"1961-04-27",28900000,"The Guns of Navarone","Navarone Collection",1,"1961","Action",3
"1961-07-12",7e+06,"Voyage to the Bottom of the Sea","",2,"1961","Adventure",9
"1961-01-01",8200000,"The Misfits","",7,"1961","Drama",7
"1961-12-18",5e+06,"Pocketful of Miracles","",4,"1961","Comedy",10
"1961-10-11",14483352,"King of Kings","",7,"1961","Drama",4
"1961-12-01",1e+07,"Judgment at Nuremberg","",7,"1961","Drama",5
"1958-05-09",2.8e+07,"Vertigo","",14,"1958","Mystery",2
"1958-02-17",17570324,"Cat on a Hot Tin Roof","",7,"1958","Drama",3
"1958-04-23",2247465,"Touch of Evil","",7,"1958","Drama",6
"1958-07-16",3e+06,"The Fly","The Fly (1958 series)",7,"1958","Drama",5
"1958-03-18",36800000,"South Pacific","",13,"1958","Music",1
"1958-10-01",5e+06,"Macabre","",12,"1958","Horror",4
"1958-01-29",263404,"Elevator to the Gallows","",7,"1958","Drama",8
"1958-05-19",480000,"Attack of the 50 Foot Woman","",12,"1958","Horror",7
"1954-08-01",36764313,"Rear Window","",7,"1954","Drama",1
"1954-09-28",1e+07,"Sabrina","",4,"1954","Comedy",5
"1954-12-23",28200000,"20,000 Leagues Under the Sea","",2,"1954","Adventure",2
"1954-05-29",3e+06,"Dial M for Murder","",5,"1954","Crime",9
"1954-06-22",9600000,"On the Waterfront","",5,"1954","Crime",6
"1954-07-22",5e+06,"Seven Brides for Seven Brothers","",4,"1954","Comedy",7
"1954-06-24",21750000,"The Caine Mutiny","",7,"1954","Drama",3
"1954-08-25",1.5e+07,"The Egyptian","",11,"1954","History",4
"1954-12-20",3200000,"The Silver Chalice","",7,"1954","Drama",8
"1954-04-01",1400000,"Riding Shotgun","",20,"1954","Western",10
"1934-02-22",4500000,"It Happened One Night","",4,"1934","Comedy",1
"1934-05-25",1423000,"The Thin Man","The Thin Man Collection",4,"1934","Comedy",2
"1934-11-23",1120000,"The Painted Veil","",15,"1934","Romance",3
"1960-06-15",2.5e+07,"The Apartment","",4,"1960","Comedy",3
"1960-06-16",3.2e+07,"Psycho","Psycho Collection",7,"1960","Drama",2
"1960-10-06",6e+07,"Spartacus","",1,"1960","Action",1
"1960-10-23",7900000,"The Alamo","",1,"1960","Action",9
"1960-06-19",10400000,"Elmer Gantry","",7,"1960","Drama",6
"1960-03-27",21750000,"Exodus","",1,"1960","Action",4
"1960-05-24",8e+06,"Never on Sunday","",7,"1960","Drama",8
"1960-02-05",19516000,"La Dolce Vita","",4,"1960","Comedy",5
"1960-07-20",1e+07,"The Bellboy","",4,"1960","Comedy",7
"1960-12-18",7100000,"Cinderfella","",4,"1960","Comedy",10
"1963-12-05",13474588,"Charade","",4,"1963","Comedy",6
"1963-12-25",22182353,"The Sword in the Stone","",3,"1963","Animation",5
"1963-06-20",11744471,"The Great Escape","",2,"1963","Adventure",7
"1963-03-28",11403529,"The Birds","",12,"1963","Horror",8
"1963-10-06",37600000,"Tom Jones","",2,"1963","Adventure",4
"1963-10-11",78898765,"From Russia with Love","James Bond Collection",1,"1963","Action",1
"1963-06-12",7.1e+07,"Cleopatra","",7,"1963","Drama",2
"1963-11-07",6e+07,"It's a Mad, Mad, Mad, Mad World","",1,"1963","Action",3
"1963-12-19",10878107,"The Pink Panther","The Pink Panther (Original) Collection",4,"1963","Comedy",9
"1942-11-26",10462500,"Casablanca","",7,"1942","Drama",3
"1942-06-04",13500000,"Mrs. Miniver","",7,"1942","Drama",2
"1942-08-14",267447150,"Bambi","Bambi Collection",3,"1942","Animation",1
"1942-12-05",4e+06,"Cat People","Cat People Collection",17,"1942","Thriller",5
"1942-10-21",4371000,"For Me and My Gal","",7,"1942","Drama",4
"1942-07-31",1040000,"Invisible Agent","The Invisible Man (Universal Series)",2,"1942","Adventure",6
"1941-11-18",1e+06,"The Maltese Falcon","",14,"1941","Mystery",6
"1941-04-30",23217674,"Citizen Kane","",14,"1941","Mystery",1
"1941-10-22",1600000,"Dumbo","",3,"1941","Animation",5
"1941-10-28",6e+06,"How Green Was My Valley","",7,"1941","Drama",3
"1941-11-14",4500000,"Suspicion","",14,"1941","Mystery",4
"1941-07-02",16361885,"Sergeant York","",1,"1941","Action",2
"1953-09-02",1.2e+07,"Roman Holiday","",4,"1953","Comedy",6
"1953-08-28",30500000,"From Here to Eternity","",19,"1953","War",3
"1953-02-05",87404651,"Peter Pan","Peter Pan Collection",3,"1953","Animation",1
"1953-08-13",2e+06,"The War of the Worlds","",12,"1953","Horror",10
"1953-01-26",8500000,"Niagara","",5,"1953","Crime",7
"1953-04-11",4905000,"Titanic","",7,"1953","Drama",9
"1953-04-23",2e+07,"Shane","",7,"1953","Drama",5
"1953-09-16",3.6e+07,"The Robe","Demetrius Filmreihe",7,"1953","Drama",2
"1953-04-10",23800000,"House of Wax","",5,"1953","Crime",4
"1953-06-13",5e+06,"The Beast from 20,000 Fathoms","",2,"1953","Adventure",8
"1939-08-15",33754967,"The Wizard of Oz","",2,"1939","Adventure",2
"1939-12-15",400176459,"Gone with the Wind","",7,"1939","Drama",1
"1939-01-01",2270000,"The Women","",4,"1939","Comedy",5
"1939-10-06",2279000,"Ninotchka","",4,"1939","Comedy",4
"1939-10-19",9600000,"Mr. Smith Goes to Washington","",4,"1939","Comedy",3
"1939-03-02",1103757,"Stagecoach","",2,"1939","Adventure",6
"1950-08-10",5e+06,"Sunset Boulevard","",7,"1950","Drama",3
"1950-11-09",63463,"All About Eve","",7,"1950","Drama",6
"1950-03-04",263591415,"Cinderella","Cinderella Collection",8,"1950","Family",1
"1950-12-26",96568,"Rashomon","",5,"1950","Crime",5
"1950-05-17",8e+06,"Annie Get Your Gun","",1,"1950","Action",2
"1950-03-31",2039000,"Wabash Avenue","",13,"1950","Music",4
"1946-08-15",24464742,"Notorious","",17,"1946","Thriller",1
"1946-12-20",9644124,"It's a Wonderful Life","",7,"1946","Drama",4
"1946-12-25",23650000,"The Best Years of Our Lives","",7,"1946","Drama",2
"1946-12-31",20400000,"Duel in the Sun","",20,"1946","Western",3
"1945-12-28",7e+06,"Spellbound","",7,"1945","Drama",4
"1945-11-25",1.1e+07,"The Lost Weekend","",7,"1945","Drama",2
"1945-09-24",5638000,"Mildred Pierce","",5,"1945","Crime",5
"1945-12-28",2948386,"Scarlet Street","",7,"1945","Drama",6
"1945-12-27",21300000,"The Bells of St. Mary's","",7,"1945","Drama",1
"1945-06-01",9132000,"The Valley of Decision","",7,"1945","Drama",3
"1938-05-13",3981000,"The Adventures of Robin Hood","",1,"1938","Action",3
"1938-08-23",7433101,"You Can't Take It With You","",4,"1938","Comedy",1
"1938-05-24",4e+06,"Alexander's Ragtime Band","",7,"1938","Drama",2
"1944-10-11",2e+06,"Laura","",7,"1944","Drama",6.5
"1944-05-15",16300000,"Going My Way","",7,"1944","Drama",1
"1944-04-24",2500000,"Double Indemnity","",7,"1944","Drama",5
"1944-10-11",3650000,"To Have and Have Not","",19,"1944","War",4
"1944-03-01",5363000,"A Guy Named Joe","",7,"1944","Drama",3
"1944-08-01",2e+06,"Wilson","",15,"1944","Romance",6.5
"1944-07-01",6892000,"Bathing Beauty","",4,"1944","Comedy",2
"1935-09-06",3202000,"Top Hat","",4,"1935","Comedy",2
"1935-11-08",4460000,"Mutiny on the Bounty","",2,"1935","Adventure",1
"1935-08-30",1439000,"Anna Karenina","",7,"1935","Drama",3
"1935-05-09",950000,"The Informer","",7,"1935","Drama",4
"1935-04-19",831,"Star of Midnight","",15,"1935","Romance",5
"1956-10-10",3.5e+07,"Giant","",1,"1956","Action",3
"1956-10-17",4.2e+07,"Around the World in Eighty Days","",2,"1956","Adventure",2
"1956-06-01",10250000,"The Man Who Knew Too Much","",2,"1956","Adventure",8
"1956-06-29",21300000,"The King and I","",7,"1956","Drama",4
"1956-06-27",10400000,"Moby Dick","",2,"1956","Adventure",7
"1956-11-15",9e+06,"Love Me Tender","",7,"1956","Drama",9
"1956-08-21",12500000,"War and Peace","",7,"1956","Drama",6
"1956-10-05",122700000,"The Ten Commandments","",7,"1956","Drama",1
"1956-07-03",3360000,"Somebody Up There Likes Me","",7,"1956","Drama",10
"1956-05-30",14400000,"Trapeze","",7,"1956","Drama",5
"1975-05-21",41833347,"The Return of the Pink Panther","The Pink Panther (Original) Collection",14,"1975","Mystery",5
"1975-11-18",108981275,"One Flew Over the Cuckoo's Nest","",7,"1975","Drama",3
"1975-06-18",470654000,"Jaws","The Jaws Collection",12,"1975","Horror",1
"1975-08-14",112892319,"The Rocky Horror Picture Show","Rocky Horror Collection",4,"1975","Comedy",2
"1975-09-24",27476252,"Three Days of the Condor","",1,"1975","Action",9
"1975-03-19",34251525,"Tommy","",7,"1975","Drama",7
"1975-08-11",46665856,"Dog Day Afternoon","",5,"1975","Crime",4
"1975-06-25",3e+07,"Rollerball","",2,"1975","Adventure",8
"1975-03-13",20642922,"The Great Waldo Pepper","",1,"1975","Action",10
"1975-08-25",39598448,"Cry, Onion!","",20,"1975","Western",6
"1971-10-07",17900000,"Bedknobs and Broomsticks","",2,"1971","Adventure",9
"1971-12-18",26589000,"A Clockwork Orange","",16,"1971","Science Fiction",8
"1971-10-09",41158757,"The French Connection","French Connection Collection",1,"1971","Action",4
"1971-10-03",29133000,"The Last Picture Show","The Last Picture Show Collection",7,"1971","Drama",6
"1971-10-21",28623900,"Carnal Knowledge","",7,"1971","Drama",7
"1971-12-13",116019547,"Diamonds Are Forever","James Bond Collection",2,"1971","Adventure",1
"1971-12-21",35976000,"Dirty Harry","Dirty Harry Collection",1,"1971","Action",5
"1971-11-03",83304330,"Fiddler on the Roof","",7,"1971","Drama",2
"1971-01-15",72266306,"Vanishing Point","",1,"1971","Action",3
"1971-04-23",15200000,"Sweet Sweetback's Baadasssss Song","",1,"1971","Action",10
"1981-05-22",50244700,"Escape from New York","Escape From ... Collection",16,"1981","Science Fiction",10
"1981-06-12",389925971,"Raiders of the Lost Ark","Indiana Jones Collection",2,"1981","Adventure",1
"1981-09-16",8.5e+07,"Das Boot","",1,"1981","Action",6
"1981-06-25",85300000,"Stripes","",1,"1981","Action",5
